year;city;country;continent
1896;Athens;Greece;Europe
1900;Paris;France;Europe
1904;St. Louis;United States;America
1908;London;United Kingdom;Europe
1912;Stockholm;Sweden;Europe
1916;Berlin;Germany;Europe
1920;Antwerp;Belgium;Europe
1924;Paris;France;Europe
1928;Amsterdam;Netherlands;Europe
1932;Los Angeles;United States;America
1936;Berlin;Germany;Europe
1940;Helsinki;Finland;Europe
1944;London;United Kingdom;Europe
1948;London;United Kingdom;Europe
1952;Helsinki;Finland;Europe
1956;Melbourne;Australia;Australia
1960;Rome;Italy;Europe
1964;Tokyo;Japan;Asia
1968;Mexico City;Mexico;America
1972;Munich;Germany;Europe
1976;Montréal;Canada;America
1980;Moscow;Russia;Europe
1984;Los Angeles;United States;America
1988;Seoul;Korea, South;Asia
1992;Barcelona;Spain;Europe
1996;Atlanta;United States;America
2000;Sydney;Australia;Australia
2004;Athens;Greece;Europe
2008;Beijing;China;Asia
2012;London;United Kingdom;Europe
2016;Rio de Janeiro;Brazil;America
2021;Tokyo;Japan;Asia
2024;Paris;France;Europe
2028;Los Angeles;United States;America
